Article Title,Cited,Impact Factor,altmetric_score,DOI,retracted,severity_category
Connecting Biochemical Photosynthesis Models with Crop Models to Support Crop Improvement,69.0,4.1,0.25,10.3389/fpls.2016.01518,no,good
CARBON-DIOXIDE ASSIMILATION IN OXYGENIC AND ANOXYGENIC PHOTOSYNTHESIS,55.0,2.9,3.0,10.1007/BF00039177,no,good
A wish list for synthetic biology in photosynthesis research,32.0,5.6,11.6,10.1093/jxb/eraa075,no,good
Photosynthesis research under climate change,71.0,2.9,1.1,10.1007/s11120-021-00861-z,no,good
Pathways of Photosynthesis in Non-Leaf Tissues,30.0,3.6,1.75,10.3390/biology9120438,no,good
Strategies for engineering C4 photosynthesis,52.0,4,5.5,10.1016/j.jplph.2012.10.011,no,good
The evolution of C4 photosynthesis,1125.0,8.3,36.15599999999999,10.1111/j.1469-8137.2004.00974.x,no,good
"Temperature response of photosynthesis in C3, C4, and CAM plants: temperature acclimation and temperature adaptation",781.0,2.9,9.370000000000001,10.1007/s11120-013-9874-6,no,good
Novel chlorophylls and new directions in photosynthesis research,55.0,2.6,1.25,10.1071/FP14350,no,good
Electrical signals as mechanism of photosynthesis regulation in plants,112.0,2.9,0.25,10.1007/s11120-016-0270-x,no,good
Photosynthesis in the Archean Era,204.0,2.9,42.58,10.1007/s11120-006-9040-5,no,good
Pictorial demonstrations of photosynthesis,9.0,2.9,6.5,10.1023/B:PRES.0000030426.98007.6a,no,good
Solar energy conversion: From natural to artificial photosynthesis,214.0,12.8,3.0,10.1016/j.jphotochemrev.2017.02.001,no,good
Are crassulacean acid metabolism and C4 photosynthesis incompatible?,67.0,2.6,3.0,10.1071/PP01217,no,good
Steady-state models of photosynthesis,159.0,6,2.5,10.1111/pce.12098,no,good
Sink regulation of photosynthesis,976.0,5.6,6.0,10.1093/jexbot/52.360.1383,no,good
Spike photosynthesis measured at high throughput indicates genetic variation independent of flag leaf photosynthesis,42.0,5.6,7.0,10.1016/j.fcr.2020.107866,no,good
Is C4 photosynthesis less phenotypically plastic than C3 photosynthesis?,170.0,5.6,3.0,10.1093/jxb/erj040,no,good
The evolution of photosynthesis ... again?,37.0,5.4,1.0,10.1098/rstb.2008.0056,no,good
Semiconductor Nanowires for Artificial Photosynthesis,343.0,7.2,5.85,10.1021/cm4023198,no,good
Non-foliar photosynthesis - a strategy of additional carbon acquisition,342.0,1.7,10.724,10.1078/0367-2530-00080,no,good
A Year at the Forefront of Engineering Photosynthesis,4.0,1.8,28.00000000000001,10.1242/bio.059335,no,good
From leaf to multiscale models of photosynthesis: applications and challenges for crop improvement,0.0,2.9,1.25,10.1007/s11120-024-01083-9,no,good
Water Oxidation Catalysts for Artificial Photosynthesis,234.0,27.4,9.5,10.1002/adma.201902069,no,good
COMPARATIVE ECOPHYSIOLOGY OF LEAF AND CANOPY PHOTOSYNTHESIS,331.0,6,7.0,10.1111/j.1365-3040.1995.tb00623.x,no,good
Decoupled Artificial Photosynthesis,17.0,16.1,2.0,10.1002/anie.202219076,no,good
Proteomic approaches in research of cyanobacterial photosynthesis,17.0,2.9,0.25,10.1007/s11120-014-0050-4,no,good
Photosynthesis: a multiscopic view,13.0,2.7,1.75,10.1007/s10265-021-01321-4,no,good
The Significance of Calcium in Photosynthesis,75.0,4.9,9.5,10.3390/ijms20061353,no,good
Artificial Photosynthesis: Beyond Mimicking Nature,65.0,7.5,20.95,10.1002/cssc.201702106,no,good
Exergy efficiency of plant photosynthesis,35.0,4.1,0.5,10.1016/j.ces.2015.02.011,no,good
The interplanetary exchange of photosynthesis,29.0,1.9,3.5,10.1007/s11084-007-9112-3,no,good
Modelling C3 photosynthesis from the chloroplast to the ecosystem,126.0,6,3.25,10.1111/pce.12118,no,good
Liberating photoinhibition through nongenetic drainage of electrons from photosynthesis,3.0,2.6,10.5,10.1002/ntls.20210038,no,good
A mechanistic model of photosynthesis in microalgae,222.0,3.5,3.0,10.1002/bit.10492,no,good
"The recurrent assembly of C4 photosynthesis, an evolutionary tale",33.0,2.9,4.0,10.1007/s11120-013-9852-z,no,good
A method for measuring whole plant photosynthesis in Arabidopsis thaliana,34.0,2.9,3.0,10.1023/A:1005834327441,no,good
Selectable traits to increase crop photosynthesis and yield of grain crops,657.0,5.6,4.0,10.1093/jexbot/51.suppl_1.447,no,good
Oxygenic and anoxygenic photosynthesis in a sewage pond,13.0,2.8,0.75,10.1007/s10811-018-1432-3,no,good
A novel method for measuring photosynthesis using delayed fluorescence of chloroplast,66.0,10.7,3.0,10.1016/j.bios.2004.03.031,no,good
Artificial Photosynthesis: Learning from Nature,55.0,3,10.0,10.1002/cptc.201700163,no,good
EFFECTS OF NITROGEN SUPPLY ON THE ACCLIMATION OF PHOTOSYNTHESIS TO ELEVATED CO2,119.0,2.9,3.0,10.1007/BF00014593,no,good
Photosynthesis on exoplanets and exomoons from reflected light,10.0,1.7,17.41,10.1017/S1473550419000247,no,good
Shallow cumulus rooted in photosynthesis,44.0,4.6,11.25,10.1002/2014GL059279,no,good
Shedding new light on viral photosynthesis,67.0,2.9,12.556,10.1007/s11120-014-0057-x,no,good
Glycine decarboxylase controls photosynthesis and plant growth,142.0,3,19.5,10.1016/j.febslet.2012.08.027,no,good
Thinking twice about the evolution of photosynthesis,43.0,4.5,29.16,10.1098/rsob.180246,no,good
Coupling biology to synthetic nanomaterials for semi-artificial photosynthesis,22.0,2.9,0.75,10.1007/s11120-019-00670-5,no,good
The crucial roles of mitochondria in supporting C4 photosynthesis,12.0,8.3,17.85,10.1111/nph.17818,no,good
Photosynthesis - beyond the leaf,9.0,8.3,42.65000000000001,10.1111/nph.18671,no,good
Honoring two stalwarts of photosynthesis research: Eva-Mari Aro and Govindjee,3.0,2.9,0.5,10.1007/s11120-022-00988-7,no,good
Updating the steady-state model of C4 photosynthesis,15.0,5.6,1.25,10.1093/jxb/erab266,no,good
Variation of photosynthesis during plant evolution and domestication: implications for improving crop photosynthesis,23.0,5.6,5.25,10.1093/jxb/erac169,no,good
Temperature and CO2 responses of leaf and canopy photosynthesis:: A clarification using the non-rectangular hyperbola model of photosynthesis,136.0,3.6,3.0,10.1006/anbo.1998.0777,no,good
Photosynthesis in non-foliar tissues: implications for yield,110.0,6.2,4.75,10.1111/tpj.14633,no,good
Critical review: incorporating the arrangement of mitochondria and chloroplasts into models of photosynthesis and carbon isotope discrimination,24.0,2.9,1.35,10.1007/s11120-019-00635-8,no,good
Chloroembryos: A unique photosynthesis system,38.0,4,0.5,10.1016/j.jplph.2013.04.011,no,good
Photorespiration connects C3 and C4 photosynthesis,81.0,5.6,3.85,10.1093/jxb/erw056,no,good
Contributions of TOR Signaling on Photosynthesis,9.0,4.9,0.25,10.3390/ijms22168959,no,good
LHC-like Proteins: The Guardians of Photosynthesis,11.0,4.9,1.0,10.3390/ijms24032503,no,good
Triose phosphate limitation in photosynthesis models reduces leaf photosynthesis and global terrestrial carbon storage,36.0,5.8,65.81,10.1088/1748-9326/aacf68,no,good
Crosstalk between photosynthesis and respiration in microbes,0.0,2.1,7.25,10.1007/s12038-023-00417-4,no,good
CAM photosynthesis: the acid test,42.0,8.3,43.88,10.1111/nph.17790,no,good
Quantifying impacts of enhancing photosynthesis on crop yield,228.0,15.8,114.66,10.1038/s41477-019-0398-8,no,good
"What is global photosynthesis? History, uncertainties and opportunities",274.0,11.1,51.00000000000002,10.1016/j.rse.2019.01.016,no,good
Defining the scope for altering rice leaf anatomy to improve photosynthesis: a modelling approach,8.0,8.3,19.8,10.1111/nph.18564,no,good
"Bicentenary homage to Dr Jan Ingen-Housz, MD (1730-1799), pioneer of photosynthesis research",15.0,2.9,8.08,10.1023/A:1006460024843,no,good
Enhancing (crop) plant photosynthesis by introducing novel genetic diversity,19.0,5.4,0.5,10.1098/rstb.2016.0380,no,good
C4 photosynthesis and water stress,418.0,3.6,3.0,10.1093/aob/mcn093,no,good
Climate-smart crops with enhanced photosynthesis,41.0,5.6,19.6,10.1093/jxb/ery213,no,good
"A 'misplaced chapter' in the history of photosynthesis research; the second publication (1796) on plant processes by Dr Jan Ingen-Housz, MD, discoverer of photosynthesis - A bicentennial 'resurrection'",7.0,2.9,3.0,10.1023/A:1005827711469,no,good
Photosynthesis and calcification of the stromatolitic freshwater cyanobacterium Rivularia,20.0,2,3.0,10.1080/09670262.2010.492914,no,good
Photosynthesis in Dynamic Animations,2.0,2.5,5.176,10.1021/ed300213h,no,good
History of the word photosynthesis and evolution of its definition,38.0,2.9,3.0,10.1023/A:1020419417954,no,good
Photosynthesis at the forefront of a sustainable life,64.0,3.8,1.0,10.3389/fchem.2014.00036,no,good
Prospective Roles of Scanning Photoelectrochemical Microscopy in Microbial Hybrid Photosynthesis†,1.0,5.5,5.35,10.1002/cjoc.202200423,no,good
Mehler reaction plays a role in C3 and C4 photosynthesis under shade and low CO2,6.0,2.9,3.1,10.1007/s11120-021-00819-1,no,good
Could photosynthesis function on Proxima Centauri b?,38.0,1.7,3.0,10.1017/S1473550417000167,no,good
The dependency of red Rubisco on its cognate activase for enhancing plant photosynthesis and growth,40.0,9.4,81.38000000000001,10.1073/pnas.2011641117,no,good
Models for estimating photosynthesis parameters from in situ production profiles,10.0,3.8,0.75,10.1016/j.pocean.2017.10.013,no,good
Can miscanthus C4 photosynthesis compete with festulolium C3 photosynthesis in a temperate climate?,13.0,5.9,0.5,10.1111/gcbb.12342,no,good
Biocatalytic Photosynthesis with Water as an Electron Donor,42.0,3.9,0.25,10.1002/chem.201403301,no,good
Photosynthesis and food security: the evolving story of C4 rice,3.0,2.9,4.0,10.1007/s11120-023-01014-0,no,good
Modeling Photosynthesis and Exudation in Subtropical Oceans,6.0,5.4,2.5,10.1029/2021GB006941,no,good
Seed photosynthesis enhances Posidonia oceanica seedling growth,22.0,2.7,3.0,10.1890/ES13-00104.1,no,good
Coupling Photocatalysis and Redox Biocatalysis Toward Biocatalyzed Artificial Photosynthesis,114.0,3.9,3.75,10.1002/chem.201204385,no,good
The effect of photosynthesis time scales on microalgae productivity,25.0,3.5,0.5,10.1007/s00449-013-1031-2,no,good
"PGEN - AN INTEGRATED MODEL OF LEAF PHOTOSYNTHESIS, TRANSPIRATION, AND CONDUCTANCE",105.0,2.6,1.0,10.1016/0304-3800(93)E0082-E,no,good
Genetic manipulation of photosynthesis to enhance crop productivity under changing environmental conditions,3.0,2.9,2.85,10.1007/s11120-022-00977-w,no,good
Complex evolutionary history of photosynthesis in Bradyrhizobium,1.0,4,0.5,10.1099/mgen.0.001105,no,good
Plant tissue-and photosynthesis-based biosensors,61.0,12.1,3.0,10.1016/j.biotechadv.2008.04.001,no,good
Engineering Improved Photosynthesis in the Era of Synthetic Biology,57.0,9.4,10.95,10.1016/j.xplc.2020.100032,no,good
The nitrogen cost of photosynthesis,233.0,5.6,56.43,10.1093/jxb/ery366,no,good
Using synthetic biology to improve photosynthesis for sustainable food production,5.0,4.1,5.25,10.1016/j.jbiotec.2022.09.010,no,good
